,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
205,Tommy Tuberville,2024-02-14,2024-01-19,NVO,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,-1.2490882505406757
206,Tommy Tuberville,2024-02-14,2024-01-19,HUMA,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,6.190481921172456
207,Tommy Tuberville,2024-02-14,2024-01-19,GOOG,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,-2.1747974456409525
208,Tommy Tuberville,2024-02-14,2024-01-19,AMD,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,-1.0856197395281115
209,Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,4.933111627977073
210,Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,4.933111627977073
211,Tommy Tuberville,2024-02-14,2024-01-19,CFG,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,1.373364140882584
212,Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,4.933111627977073
213,Tommy Tuberville,2024-02-14,2024-01-19,PAM,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,-1.251990059730882
214,Tommy Tuberville,2024-02-14,2024-01-19,GOOGL,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,-2.1721242400403833
215,Tommy Tuberville,2024-02-14,2024-01-19,SSBK,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,4.933111627977073
216,Tommy Tuberville,2024-02-14,2024-01-10,AAPL,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,-0.15747667431139067
217,Tommy Tuberville,2024-02-14,2024-01-03,AAPL,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,-0.15747667431139067
218,Tommy Tuberville,2024-02-14,2024-01-03,BMY,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,1.1249728859211219
219,Tommy Tuberville,2024-02-14,2024-01-03,LLY,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,0.062065962392749634
220,Tommy Tuberville,2024-02-14,2024-01-03,SLF,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,1.6733239504885806
221,Tommy Tuberville,2024-02-14,2024-01-03,UNP,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,0.1759235697623037
222,Tommy Tuberville,2024-02-14,2024-01-03,DGX,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,-1.55809414715771
223,Tommy Tuberville,2024-02-14,2024-01-03,GOOGL,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,-2.1721242400403833
224,Tommy Tuberville,2024-02-14,2024-01-03,ORCL,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-02-15,-1.2952943543349562
225,Tommy Tuberville,2024-02-14,2024-01-03,MSFT,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-15,-0.7155224170691558
