Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,JPM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CAT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GIS,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,ACN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CAT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,ACN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MDT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,LMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,WMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,WMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GIS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,ACN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CRM,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CFG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,SBUX,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,NKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,JPM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,SYY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CFG,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,TJX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,SBUX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,ABT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CB,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,LMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,NKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CME,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,JNJ,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,PKG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,ABBV,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,TJX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,V,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MDT,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,LRCX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,QCOM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GIS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,NKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,LRCX,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,AAPL,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GOOG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,SYY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,INTU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,TJX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,QCOM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,LRCX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,ABT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MDT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,GOOG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,CRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,INTU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,SBUX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
Kathy Manning,2024-02-06,2024-01-23,AMGN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07
William R. Keating,2024-02-05,2024-01-24,PANW,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-06
Virginia Foxx,2024-02-05,2024-01-18,ET,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-17,ET,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-17,SCHX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-17,CRT,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-16,DUK$A,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-16,ET,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-16,HTGC,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-16,MO,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06
Michael C. Burgess,2024-02-05,2024-01-12,VLO,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-11,MO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-10,MO,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06
Virginia Foxx,2024-02-05,2024-01-08,SCHX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06
Thomas R. Carper,2024-02-02,2024-01-17,ETRN,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,MET,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,GBIL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,VLO,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,TTE,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,GBIL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,CME,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,ABT,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,SBUX,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-17,AES,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-02,DELL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Thomas R. Carper,2024-02-02,2024-01-02,S,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D,2024-02-02
Mark Dr Green,2024-02-01,2024-01-29,NGL,Sale,"$100,001 - $250,000",Representatives,100001.0,R,2024-02-02
Debbie Wasserman Schultz,2024-01-31,2024-01-08,MAG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-01
Debbie Wasserman Schultz,2024-01-31,2024-01-05,MAG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-01
Markwayne Mullin,2024-01-26,2024-01-04,ETN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,FRPT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,CYBR,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,AXON,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,OLLI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,ZTS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,ELF,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,BMI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,SFM,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,BMI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,FRPT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,ELF,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,AXON,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,GS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,CYBR,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,ETN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,GS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,SFM,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,ZTS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-04,OLLI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-02,AAPL,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-02,META,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-02,AMD,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-02,ADBE,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-02,NVDA,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-02,AMAT,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2024-01-02,LRCX,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,FN,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,SHOP,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,CELH,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,HUBB,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,PYPL,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,FCFS,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,INST,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,PODD,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,CTVA,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Markwayne Mullin,2024-01-26,2023-12-22,EXLS,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-28
Lindsey Graham,2024-01-26,2024-01-26,VIG,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-01-26
Lindsey Graham,2024-01-26,2024-01-26,USFR,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-26
Thomas H. Kean Jr.,2024-01-26,2023-12-14,ORCL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-29
Gary Peters,2024-01-25,2023-12-28,D,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D,2024-01-25
Blake Moore,2024-01-24,2024-01-19,VUG,Purchase,"$100,001 - $250,000",Representatives,100001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,BAC,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,SPY,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,RTX,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,BRK.B,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,HQY,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AMZN,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,SPY,Purchase,"$100,001 - $250,000",Representatives,100001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,GOOG,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
