Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
Blake Moore,2024-01-24,2024-01-19,VUG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,BABA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AXP,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,META,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,META,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,JNJ,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,BAC,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,BRK.B,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,MSFT,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AMZN,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AXP,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,SPY,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,DIS,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,JNJ,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,DIS,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,BRK.B,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,GOOG,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,HQY,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AXP,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,META,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AAPL,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,AMZN,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,VUG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-19,RTX,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Blake Moore,2024-01-24,2024-01-09,BA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Pete Sessions,2024-01-24,2023-12-28,AMT,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-25
Pete Sessions,2024-01-24,2023-12-28,BABA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-25
Pete Sessions,2024-01-24,2023-12-28,CCI,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-25
Blake Moore,2024-01-24,2023-12-22,AAPL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24
Michael C. Burgess,2024-01-22,2024-01-10,RY,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-10,RY,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,ILMN,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,AMGN,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,VLO,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,PANW,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,ILMN,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,AMD,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,BX,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,ILMN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-23
Michael C. Burgess,2024-01-22,2024-01-02,XOM,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,SHW,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,JKHY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,DG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,SYY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,DIS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,ROP,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,SYY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,ROP,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,DG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,WST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,BBY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,HRL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,TMUS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,DIS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,ADI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,MDT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,SHW,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,PFE,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,TSCO,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,META,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,TMUS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,PFE,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,LLY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,LLY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,META,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
