,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
451,Jared Moskowitz,2024-01-22,2023-12-28,WST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,1.302186546627865
456,Jared Moskowitz,2024-01-22,2023-12-28,ADI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,2.0576745268004384
460,Jared Moskowitz,2024-01-22,2023-12-28,TSCO,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,-1.7634434853830645
461,Jared Moskowitz,2024-01-22,2023-12-28,META,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,0.895807386104438
462,Jared Moskowitz,2024-01-22,2023-12-28,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,0.656682633420393
463,Jared Moskowitz,2024-01-22,2023-12-28,TMUS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,-0.3893413862012578
465,Jared Moskowitz,2024-01-22,2023-12-28,LLY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,-0.19021243306865546
466,Jared Moskowitz,2024-01-22,2023-12-28,LLY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,-0.19021243306865546
467,Jared Moskowitz,2024-01-22,2023-12-28,META,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,0.895807386104438
454,Jared Moskowitz,2024-01-22,2023-12-28,TMUS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23,-0.3893413862012578
390,Blake Moore,2024-01-24,2024-01-19,SPY,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24,0.5438892542467083
388,Blake Moore,2024-01-24,2024-01-19,VUG,Purchase,"$100,001 - $250,000",Representatives,100001.0,R,2024-01-24,0.2355450805798926
397,Blake Moore,2024-01-24,2024-01-19,SPY,Purchase,"$100,001 - $250,000",Representatives,100001.0,R,2024-01-24,0.5438892542467083
